time,ax,ay,az,gx,gy,gz,
 6.41000000e+02, 1.80500001e-03, 6.61699986e-03, 1.01326394e+00,-1.78741503e+00, 2.31414795e+00,-1.75735497e+00,
  6.91000000e+02, 3.26999999e-03, 7.58000009e-04, 1.01814699e+00,-5.20934999e-01,-4.43023682e+00, 2.89657593e+00,
  7.41000000e+02,-2.10099993e-03,-5.59000019e-03, 1.00593996e+00,-2.19940209e+00, 6.81457996e-01,-3.80203199e+00,
  7.91000000e+02, 5.22299996e-03,-1.68300001e-03, 9.87384975e-01,-8.56628001e-01,-6.76575005e-01, 3.17123389e+00,
  8.41000000e+02, 2.29400001e-03,-9.98399965e-03, 9.88362014e-01,-9.48180974e-01, 2.20733595e+00,-7.88879991e-02,
  8.91000000e+02, 9.13000014e-03,-3.14799999e-03, 9.89826977e-01, 3.18298012e-01, 4.99969482e+00,-1.94045997e+00,
  9.42000000e+02, 1.31700002e-03, 1.24600006e-03, 9.97639000e-01,-2.10784888e+00, 4.09942579e+00,-1.57424903e+00,
  9.92000000e+02,-4.54200013e-03, 7.58000009e-04, 9.98126984e-01,-1.61956799e+00, 2.60406494e+00,-5.86196899e+00,
  1.04200000e+03,-9.91300028e-03,-1.68300001e-03, 1.00105703e+00,-1.78741503e+00, 2.22259498e+00, 3.55270410e+00,
  1.09300000e+03, 8.29000026e-04, 6.12899987e-03, 9.80548978e-01, 6.53991997e-01, 6.81457996e-01, 4.70427990e-01,
  1.14300000e+03, 2.78200000e-03, 2.71099992e-03, 9.92268026e-01, 1.23382604e+00, 3.36700392e+00, 8.51898015e-01,
  1.19300000e+03,-5.03099989e-03, 7.58000009e-04, 9.99104023e-01,-6.27746999e-01, 4.06798989e-01,-4.27505493e+00,
  1.24400000e+03,-1.48000006e-04, 1.73500006e-03, 1.00252199e+00, 1.40167201e+00, 8.64562988e-01,-8.26569021e-01,
  1.29400000e+03,-2.58899992e-03,-6.56600017e-03, 9.97639000e-01,-1.85241997e-01, 1.35284400e+00,-2.32192993e+00,
  1.34400000e+03, 2.29400001e-03, 8.57099984e-03, 1.00691605e+00, 5.62439024e-01, 4.23675489e+00, 1.95769995e-01,
  1.39400000e+03,-6.98400009e-03, 6.61699986e-03, 1.00056899e+00,-1.61956799e+00, 1.53594995e+00,-7.35732985e+00,
  1.44400000e+03, 5.22299996e-03, 3.68799991e-03, 9.91779983e-01, 3.94591987e-01, 1.82586706e+00, 1.30966198e+00,
  1.49500000e+03,-3.07699991e-03,-2.18999994e-04, 1.01228797e+00, 1.90521204e+00,-6.91741896e+00, 5.59738207e+00,
  1.54500000e+03, 7.17699993e-03,-2.17200001e-03, 9.90315020e-01, 1.49322498e+00, 2.99988002e-01, 8.51898015e-01,
  1.59600000e+03,-6.98400009e-03, 3.19899991e-03, 9.93245006e-01,-2.92053014e-01,-8.82476807e+00,-1.29959095e+00,
  1.64600000e+03, 1.80500001e-03, 2.71099992e-03, 1.00008094e+00, 4.86144990e-01, 2.11578393e+00,-4.00039721e+00,
  1.69600000e+03, 1.80500001e-03, 8.08199961e-03, 1.00496304e+00,-5.20934999e-01, 9.71374989e-01,-1.75735497e+00,
