time,ax,ay,az,gx,gy,gz,
 6.41000000e+02,-3.90999997e-03,-3.12600005e-03, 9.87845004e-01, 1.41295999e-01, 1.28036499e+00, 1.47140503e+00,
  6.91000000e+02, 4.39100014e-03,-7.52100023e-03, 1.00395894e+00,-6.21643007e-01, 3.27926612e+00, 5.40619016e-01,
  7.41000000e+02,-9.80000012e-04, 2.73300009e-03, 1.00346994e+00, 1.56554997e-01, 8.68377984e-01,-5.51711988e+00,
  7.91000000e+02, 3.90299992e-03, 1.75699999e-03, 9.92727995e-01, 1.41295999e-01,-2.67166090e+00, 2.87521410e+00,
  8.41000000e+02,-4.88599995e-03,-2.15000007e-03, 1.00249398e+00, 1.23992896e+00, 2.59262109e+00, 2.49374390e+00,
  8.91000000e+02,-2.93299998e-03, 1.75699999e-03, 1.00395894e+00, 7.21130013e-01,-2.56485009e+00,-4.81720001e-01,
  9.42000000e+02,-7.81599991e-03, 5.66300005e-03, 9.91752028e-01, 1.66717505e+00,-2.90054297e+00, 6.67465210e+00,
  9.92000000e+02, 1.94900006e-03,-4.59099980e-03, 9.96635020e-01,-1.46087694e+00, 2.11959791e+00, 1.76132202e+00,
  1.04200000e+03, 9.73000017e-04,-1.66099996e-03, 9.96146023e-01, 6.44836009e-01,-1.54251099e+00, 8.30536008e-01,
  1.09200000e+03,-4.92000021e-04,-2.15000007e-03, 1.00346994e+00, 3.09143007e-01,-2.19863892e+00, 3.80599999e+00,
  1.14300000e+03,-1.46800000e-03, 2.92000012e-04, 1.01079500e+00,-3.62244010e-01,-2.76321411e+00,-5.73273003e-01,
  1.19300000e+03, 9.73000017e-04, 1.75699999e-03, 9.96635020e-01,-1.03363001e+00,-1.92398095e+00, 1.47140503e+00,
  1.24400000e+03,-9.28100012e-03, 3.71000008e-03, 1.00102901e+00,-1.29303002e+00, 2.50106812e+00,-3.45718408e+00,
  1.29400000e+03, 4.84999997e-04,-1.97000001e-04, 1.00102901e+00, 3.09143007e-01, 2.42477393e+00,-1.77871704e+00,
  1.34400000e+03,-2.93299998e-03,-4.10299981e-03, 9.99563992e-01, 2.17590004e-01,-1.98501599e+00, 4.73678589e+00,
  1.39400000e+03,-9.80000012e-04,-6.05600001e-03, 1.00884104e+00, 1.05682397e+00,-4.60952806e+00,-1.41250598e+00,
  1.44400000e+03,-8.30399990e-03,-4.59099980e-03, 1.00054097e+00,-1.46087694e+00,-7.76669979e-02, 3.05831909e+00,
  1.49500000e+03, 2.43799994e-03, 8.10400024e-03, 1.01079500e+00,-6.97937012e-01, 5.21713305e+00,-8.11111546e+00,
  1.54500000e+03, 1.46099995e-03, 1.20110000e-02, 9.96635020e-01, 1.31622303e+00, 2.33322096e+00,-8.47931027e-01,
  1.59600000e+03, 5.36700012e-03, 2.92000012e-04, 1.00639999e+00,-1.12920003e-02, 5.29342604e+00, 5.40619016e-01,
  1.64600000e+03, 3.90299992e-03,-8.49699974e-03, 9.95657980e-01, 5.53283989e-01, 4.86907989e-01, 5.39291382e+00,
  1.69600000e+03, 3.41399992e-03,-3.12600005e-03, 1.00200605e+00, 1.31622303e+00,-4.86892700e+00, 7.07138109e+00,
  1.74600000e+03,-1.46800000e-03,-1.24040004e-02, 9.96146023e-01, 7.36388981e-01,-1.63406396e+00,-2.43484497e+00,
  1.79700000e+03,-3.99999999e-06,-3.61400004e-03, 1.00005198e+00, 1.66717505e+00,-2.97683692e+00,-2.25173903e+00,
  1.84700000e+03,-3.99999999e-06, 3.71000008e-03, 1.00346994e+00,-1.03363001e+00,-6.57500982e-01, 8.30536008e-01,
  1.89700000e+03, 1.46099995e-03, 1.75699999e-03, 1.00005198e+00, 5.68542004e-01, 4.86907989e-01, 2.65960991e-01,
  1.94700000e+03, 4.84999997e-04, 3.71000008e-03, 9.95657980e-01, 8.88976991e-01, 4.82040405e+00, 6.04904222e+00,
  1.99700000e+03, 4.39100014e-03,-1.66099996e-03, 1.00102901e+00, 1.57562196e+00,-3.48037696e+00,-4.69314623e+00,
  2.04900000e+03, 5.36700012e-03, 5.66300005e-03, 1.00493503e+00,-1.12518299e+00, 9.75188971e-01,-6.90567017e+00,
  2.09900000e+03,-3.42199998e-03, 3.22100008e-03, 1.00835299e+00, 1.14837599e+00, 2.02804589e+00,-4.81720001e-01,
  2.14900000e+03, 1.94900006e-03, 7.12799979e-03, 1.00005198e+00,-3.46985012e-01, 2.10434008e+00,-2.81631494e+00,
  2.19900000e+03,-8.79300013e-03, 2.73300009e-03, 1.00542402e+00, 8.27942014e-01, 7.76825011e-01, 4.55367994e+00,
  2.24900000e+03,-9.80000012e-04,-7.03199999e-03, 9.95657980e-01,-1.79138005e-01, 2.88543999e-01, 1.37985206e+00,
  2.29900000e+03, 8.29700008e-03,-1.97000001e-04, 1.01177096e+00, 1.56036401e+00,-3.55667090e+00,-3.93020606e+00,
  2.35000000e+03,-3.90999997e-03,-4.10299981e-03, 9.90774989e-01, 6.44836009e-01, 3.95354986e-01,-3.27407789e+00,
  2.40000000e+03,-4.88599995e-03, 2.24500010e-03, 1.00151706e+00, 2.17590004e-01,-1.69509900e+00,-8.69799964e-03,
  2.45000000e+03, 3.41399992e-03,-1.17299997e-03, 1.00005198e+00, 9.80530024e-01,-4.02969408e+00, 2.69210792e+00,
  2.50100000e+03,-3.99999999e-06, 7.80000002e-04, 1.00249398e+00, 9.04236019e-01, 5.18661499e+00,-1.15509003e-01,
  2.55100000e+03, 4.39100014e-03, 5.17500006e-03, 9.75149989e-01,-1.20147705e+00, 2.02804589e+00,-5.73273003e-01,
  2.60100000e+03, 1.94900006e-03,-3.12600005e-03, 1.00151706e+00,-1.94397002e-01, 1.38860000e-02, 1.66976905e+00,
  2.65200000e+03, 6.34399988e-03,-5.07899979e-03, 9.84915972e-01, 4.92249012e-01,-4.42642212e+00,-1.32095301e+00,
  2.70200000e+03,-3.90999997e-03, 5.66300005e-03, 1.00200605e+00,-6.82677984e-01,-4.22805786e+00, 4.08065796e+00,
  2.75200000e+03,-3.99999999e-06, 7.80000002e-04, 9.99076009e-01,-2.85950005e-01, 1.57028198e+00,-2.52639794e+00,
  2.80200000e+03,-9.76900011e-03,-2.15000007e-03, 9.97610986e-01, 1.48406994e+00,-1.34414697e+00, 2.96676612e+00,
  2.85200000e+03,-9.80000012e-04, 7.12799979e-03, 9.98099029e-01,-1.20147705e+00, 2.34847999e+00,-1.03103602e+00,
  2.90300000e+03,-4.92000021e-04, 5.66300005e-03, 9.95657980e-01,-1.36932397e+00,-3.55667090e+00,-5.31875610e+00,
  2.95300000e+03, 6.83199987e-03,-3.61400004e-03, 9.91752028e-01,-1.70501697e+00, 6.70013011e-01, 1.10519397e+00,
  3.00400000e+03,-8.30399990e-03,-2.63800006e-03, 1.00786495e+00, 1.41295999e-01,-3.43460107e+00, 1.66976905e+00,
  3.05400000e+03,-3.90999997e-03, 2.24500010e-03, 1.00151706e+00,-1.46087694e+00, 4.53048706e+00, 2.40219092e+00,
  3.10400000e+03, 1.94900006e-03,-6.54400000e-03, 1.00639999e+00, 4.33746290e+00,-3.35830688e+00, 4.08065796e+00,
  3.15400000e+03, 9.73000017e-04,-7.03199999e-03, 9.87357020e-01,-5.30089974e-01,-1.25259399e+00, 2.65960991e-01,
  3.20500000e+03,-8.30399990e-03, 2.73300009e-03, 9.96635020e-01,-1.70501697e+00, 7.33810377e+00, 3.24142504e+00,
  3.25500000e+03,-5.86300017e-03,-1.66099996e-03, 1.00444698e+00,-5.30089974e-01,-2.50381494e+00,-2.99941993e+00,
  3.30500000e+03,-4.88599995e-03,-7.03199999e-03, 9.99076009e-01, 1.14837599e+00,-2.88528395e+00,-1.77871704e+00,
  3.35500000e+03, 9.73000017e-04, 5.66300005e-03, 1.00102901e+00, 1.05682397e+00,-5.55557203e+00,-9.39484000e-01,
