time,ax,ay,az,gx,gy,gz,
 5.90000000e+02, 4.33799997e-03, 2.41199997e-03, 9.92007971e-01, 4.22973990e-01,-7.47528017e-01,-1.22070000e-01,
  6.41000000e+02,-1.03299995e-03, 4.59000003e-04, 9.94938016e-01,-6.53079972e-02, 2.90069997e-01,-9.61304009e-01,
  6.91000000e+02, 4.82700020e-03,-4.91200015e-03, 1.00616801e+00, 1.50634801e+00,-5.33905029e-01, 3.96728492e+00,
  7.41000000e+02, 4.32000001e-04,-1.49399997e-03, 9.98844028e-01, 4.99267995e-01,-2.10556006e+00, 1.44958496e+00,
  7.91000000e+02, 2.87400000e-03,-1.49399997e-03, 9.83219028e-01, 3.46679986e-01, 1.53000001e-04,-2.13623002e-01,
  8.41000000e+02, 2.87400000e-03, 3.38899996e-03, 1.00030899e+00, 1.43005395e+00,-5.82870483e+00,-1.89208996e+00,
  8.91000000e+02,-2.00899993e-03, 2.41199997e-03, 1.00372696e+00,-4.27199993e-03,-3.53988600e+00,-4.22668505e+00,
  9.42000000e+02, 9.20000020e-04,-3.93600017e-03, 1.01984000e+00,-5.84106028e-01,-5.33905029e-01, 4.44030809e+00,
  9.92000000e+02,-2.49799993e-03, 4.59000003e-04, 9.95425999e-01, 3.31420988e-01, 1.35818505e+00,-3.20434988e-01,
  1.04200000e+03, 7.26799993e-03, 9.46999993e-04, 9.82241988e-01, 1.26220703e+00,-2.74506003e-01, 2.38037109e+00,
  1.09200000e+03,-5.44000010e-04,-1.00599998e-03, 9.94449019e-01, 1.32324195e+00,-1.67831397e+00, 1.08337402e+00,
  1.14200000e+03,-4.93900012e-03, 4.36499994e-03, 9.95425999e-01,-1.01135302e+00,-2.77694702e+00,-1.43432605e+00,
  1.19300000e+03,-5.42700011e-03, 1.02249999e-02, 1.02228200e+00,-1.24023402e+00,-7.62786984e-01, 2.67028809e+00,
  1.24400000e+03,-3.96199990e-03,-5.40000014e-03, 1.00079703e+00,-2.52197289e+00,-9.30633008e-01, 4.27246004e-01,
  1.29400000e+03,-1.03099998e-02,-5.17999986e-04, 1.01007402e+00,-2.48412997e-01, 6.86797976e-01, 6.10351980e-01,
  1.34400000e+03, 4.33799997e-03, 1.92399998e-03, 9.98844028e-01,-1.75903296e+00,-2.86849904e+00, 6.10349998e-02,
  1.39400000e+03, 5.31500019e-03, 9.46999993e-04, 1.01300395e+00, 1.63573995e-01,-2.77694702e+00, 2.28881788e+00,
  1.44400000e+03,-3.96199990e-03,-1.49399997e-03, 9.97866988e-01, 2.55127013e-01,-1.41891503e+00, 2.19726610e+00,
  1.49500000e+03, 6.29199995e-03, 3.38899996e-03, 1.00909805e+00, 1.26220703e+00, 3.76907396e+00,-2.18200707e+00,
  1.54500000e+03,-5.44000010e-04,-1.00599998e-03, 9.97866988e-01,-9.19799984e-01, 1.08796701e+01,-3.86047411e+00,
  1.59500000e+03,-6.40399987e-03, 1.92399998e-03, 9.98844028e-01, 3.31420988e-01,-4.42351997e-01,-6.65283203e+00,
  1.64600000e+03, 4.32000001e-04,-4.91200015e-03, 9.96402979e-01,-8.43505979e-01, 2.25845408e+00,-1.89208996e+00,
  1.69600000e+03, 3.36199999e-03, 5.34200016e-03, 1.00812101e+00, 4.84008998e-01,-2.65487599e+00, 3.35693002e-01,
  1.74600000e+03, 3.36199999e-03, 9.46999993e-04, 9.95425999e-01, 7.58666992e-01,-1.99874902e+00, 6.95800781e+00,
  1.79700000e+03, 9.20000020e-04, 2.89999996e-03, 9.93472993e-01,-9.19799984e-01, 1.22222997e-01, 4.80651903e+00,
  1.84700000e+03, 6.29199995e-03, 3.38899996e-03, 1.00323904e+00, 1.63573995e-01, 4.27399009e-01,-1.89208996e+00,
  1.89700000e+03, 3.36199999e-03, 5.83000015e-03, 9.83707011e-01,-2.01843309e+00,-2.19711304e+00, 6.39343309e+00,
  1.94700000e+03,-2.00899993e-03, 2.41199997e-03, 1.00323904e+00,-1.59118700e+00, 9.15679991e-01, 5.18798780e+00,
  1.99700000e+03, 4.32000001e-04,-1.49399997e-03, 1.01300395e+00, 1.01806605e+00, 2.77725196e+00,-2.54821801e+00,
  2.04800000e+03, 4.32000001e-04,-1.00599998e-03, 1.01300395e+00, 1.26220703e+00,-8.54339004e-01,-1.05285597e+00,
  2.09800000e+03, 7.26799993e-03, 1.02249999e-02, 1.01398098e+00,-4.16260004e-01, 2.63992310e+00,-1.25122094e+00,
