time,ax,ay,az,gx,gy,gz,
 6.41000000e+02,-6.38299994e-03,-7.03600002e-03, 9.84619975e-01, 2.35122705e+00,-3.38286996e-01, 1.11907995e+00,
  6.91000000e+02, 3.87099991e-03,-6.06000004e-03, 9.95362997e-01,-2.08908105e+00,-2.46735007e-01, 2.41607690e+00,
  7.41000000e+02,-4.43000020e-03, 3.70600005e-03, 1.01684701e+00,-2.44003296e+00, 4.86496019e+00, 9.35974002e-01,
  7.91000000e+02,-7.84800015e-03, 6.14700001e-03, 1.00805795e+00, 1.93923903e+00, 4.72763109e+00, 4.47601318e+00,
  8.41000000e+02,-4.91800020e-03, 1.26499997e-03, 9.90480006e-01,-9.14153993e-01,-2.26089501e+00, 3.91143799e+00,
  8.91000000e+02, 4.52999986e-04,-5.57099981e-03, 9.82667029e-01, 2.10708594e+00,-1.78787196e+00, 2.79846013e-01,
  9.42000000e+02,-5.40600019e-03,-2.64200009e-03, 1.00219798e+00,-7.49209970e-02, 4.45297289e+00,-6.50940001e-01,
  9.92000000e+02,-1.01200002e-03,-3.13000008e-03, 1.00317502e+00,-7.49209970e-02,-4.18350220e+00,-2.23785400e+00,
  1.04200000e+03, 7.28899986e-03,-3.61800008e-03, 9.79249001e-01,-5.78460991e-01,-1.97097802e+00, 5.11688185e+00,
  1.09200000e+03,-5.23999974e-04,-3.13000008e-03, 9.97316003e-01,-1.08200097e+00,-6.41128492e+00, 2.70599389e+00,
  1.14300000e+03,-3.94200021e-03,-1.99999995e-04, 9.90480006e-01, 2.61062598e+00,-2.10830688e+00,-1.21551502e+00,
  1.19300000e+03,-4.43000020e-03,-2.64200009e-03, 9.93408978e-01,-5.63202024e-01,-2.59399996e-03,-3.73321509e+00,
  1.24400000e+03,-1.41960001e-02,-3.61800008e-03, 1.00219798e+00, 1.00845301e+00, 1.96579003e+00,-2.69561791e+00,
  1.29400000e+03,-1.98900001e-03,-3.13000008e-03, 9.95850980e-01,-2.42477393e+00,-3.64944506e+00,-3.82476807e+00,
  1.34400000e+03, 3.87099991e-03, 1.26499997e-03, 9.94874001e-01, 2.10708594e+00, 8.82416010e-01,-4.19097900e+00,
  1.39400000e+03,-2.96499999e-03, 1.75299996e-03, 9.90967989e-01,-6.70013011e-01,-1.00967395e+00,-1.12396204e+00,
  1.44400000e+03,-3.50000009e-05,-3.13000008e-03, 1.00659299e+00,-1.66473001e-01,-1.80313098e+00, 7.54302979e+00,
  1.49500000e+03,-1.01200002e-03, 6.14700001e-03, 9.90967989e-01,-6.70013011e-01, 1.00448596e+00, 1.30218506e+00,
