time,ax,ay,az,gx,gy,gz,
 6.41000000e+02,-1.69099995e-03,-4.88799997e-03, 1.01540005e+00, 6.65893972e-01,-2.26165795e+00,-2.53280592e+00,
  6.91000000e+02,-3.64400004e-03,-5.86399995e-03, 1.00856400e+00, 2.10021996e+00,-2.26165795e+00, 3.70803809e+00,
  7.41000000e+02, 2.21600011e-03,-4.88799997e-03, 1.01540005e+00,-2.01965308e+00,-2.32238993e-01,-2.07504296e+00,
  7.91000000e+02,-1.69099995e-03,-1.26999998e-02, 1.00368202e+00, 6.65893972e-01, 1.04949903e+00,-8.54339004e-01,
  8.41000000e+02, 2.70400010e-03,-5.37599996e-03, 9.98310983e-01, 9.25293028e-01, 8.96911979e-01, 4.80667114e+00,
  8.91000000e+02,-2.66700005e-03, 1.46000006e-03, 1.00075197e+00, 1.33728004e+00, 3.52142310e+00,-6.54586792e+00,
  9.42000000e+02,-9.99100041e-03, 4.87799989e-03, 1.01002896e+00,-2.11120605e+00,-1.86160002e-02, 3.43337989e+00,
  9.92000000e+02,-3.64400004e-03,-1.17239999e-02, 1.00465798e+00, 4.06493992e-01, 7.29369968e-02, 1.84646595e+00,
  1.04200000e+03, 1.23900000e-03,-7.81700015e-03, 1.00514603e+00, 3.45459014e-01,-7.20520020e-01,-4.39437914e+00,
  1.09200000e+03,-3.15600005e-03,-4.93000029e-04, 9.93915975e-01, 1.59668005e+00, 2.07183790e+00, 1.19033802e+00,
  1.14300000e+03,-2.17900006e-03,-1.22119999e-02, 1.01686502e+00, 1.62354007e-01,-4.30602998e-01, 1.37344396e+00,
  1.19300000e+03, 3.68000008e-03,-4.39900020e-03, 9.91474986e-01, 9.76600032e-03, 8.05359006e-01,-1.70883203e+00,
  1.24400000e+03,-4.13199980e-03,-1.02589997e-02, 1.00905299e+00, 5.74340999e-01, 6.22253001e-01, 7.15652514e+00,
  1.29400000e+03,-2.66700005e-03,-5.37599996e-03, 1.01002896e+00, 1.84081995e+00, 2.36175489e+00, 1.09878504e+00,
  1.34400000e+03,-2.66700005e-03,-5.86399995e-03, 1.00465798e+00, 1.91711402e+00, 7.29065001e-01, 8.24127018e-01,
  1.39400000e+03,-3.64400004e-03,-4.99999987e-06, 9.93427992e-01, 4.98046994e-01, 1.40045202e+00, 6.25762999e-01,
  1.44400000e+03,-4.13199980e-03,-2.93500000e-03, 9.93427992e-01, 1.33728004e+00,-3.98590112e+00,-1.23580897e+00,
  1.49500000e+03, 7.58699980e-03, 1.46000006e-03, 9.94893014e-01,-1.58080995e-01,-4.65728807e+00,-1.06659003e-01,
  1.54500000e+03,-2.66700005e-03,-5.86399995e-03, 9.90498006e-01, 1.24572802e+00,-7.34283400e+00,-6.54586792e+00,
  1.59600000e+03,-1.69099995e-03,-4.99999987e-06, 1.01784205e+00, 2.86315894e+00, 1.27838099e+00,-4.60800219e+00,
  1.64600000e+03, 6.12200005e-03,-7.81700015e-03, 1.00075197e+00, 4.98046994e-01, 1.23260498e+00,-6.71234012e-01,
  1.69600000e+03,-3.15600005e-03,-1.95800001e-03, 9.98310983e-01, 1.16943395e+00,-1.30035400e+00, 6.97341919e+00,
  1.74600000e+03, 7.51000014e-04,-1.95800001e-03, 9.99774992e-01, 1.16943395e+00,-8.12072992e-01, 9.67422485e+00,
  1.79700000e+03,-5.10900002e-03,-2.44600000e-03, 9.98799026e-01, 6.81151986e-01,-1.01043701e+00,-1.41891503e+00,
  1.84700000e+03,-4.61999979e-03,-3.42299999e-03, 1.00075197e+00,-6.61620975e-01, 6.02386522e+00, 7.64470026e-02,
  1.89700000e+03, 7.51000014e-04,-1.12349996e-02, 1.00709999e+00, 1.33728004e+00, 5.82550001e+00,-5.43197584e+00,
  1.94700000e+03,-1.69099995e-03,-9.28200036e-03, 9.98310983e-01, 2.17651391e+00,-1.01043701e+00, 6.25762999e-01,
  1.99700000e+03,-3.15600005e-03,-2.93500000e-03, 1.01588905e+00, 7.08009973e-02, 3.62823510e+00, 3.14346290e+00,
  2.04900000e+03, 5.14499983e-03,-2.93500000e-03, 1.01198196e+00,-6.00585997e-01, 5.56610107e+00, 5.09658813e+00,
  2.09900000e+03,-6.08500000e-03,-2.93500000e-03, 9.85126972e-01,-4.32738990e-01, 1.78192103e+00,-2.91427588e+00,
  2.14900000e+03,-9.50300042e-03,-5.37599996e-03, 1.01784205e+00, 3.53454590e+00,-9.03625011e-01,-2.13469997e-01,
  2.19900000e+03,-1.29209999e-02, 1.46000006e-03, 9.91474986e-01,-2.95043898e+00, 6.40533400e+00,-2.16659498e+00,
  2.24900000e+03,-9.01500043e-03,-6.84100017e-03, 9.98310983e-01, 2.00866699e+00,-1.57501197e+00,-4.30282593e+00,
  2.29900000e+03,-4.13199980e-03, 1.94800005e-03, 1.00465798e+00,-1.43981898e+00,-3.37554908e+00,-6.16439819e+00,
  2.35000000e+03, 1.23900000e-03, 1.94800005e-03, 1.00661099e+00, 1.07788098e+00,-3.22296095e+00,-6.63742113e+00,
  2.40100000e+03,-3.64400004e-03,-7.81700015e-03, 1.01100600e+00,-3.45397902e+00, 3.52142310e+00,-1.87667799e+00,
  2.45100000e+03, 1.72700000e-03,-9.81000019e-04, 1.00221705e+00, 2.42065406e+00, 3.47595006e-01, 1.46499598e+00,
  2.50100000e+03, 1.72700000e-03,-3.42299999e-03, 1.00661099e+00,-3.25928003e-01, 4.37591600e+00, 4.82192993e+00,
  2.55100000e+03,-5.10900002e-03,-3.42299999e-03, 9.90498006e-01, 7.08009973e-02, 8.20617974e-01, 2.02957201e+00,
  2.60100000e+03,-9.01500043e-03,-5.37599996e-03, 9.94893014e-01, 1.33728004e+00,-4.65728807e+00,-4.02816820e+00,
  2.65200000e+03, 7.51000014e-04, 4.87799989e-03, 1.00661099e+00,-7.68432975e-01,-4.56573486e+00,-1.69357300e+00,
  2.70200000e+03, 1.23900000e-03,-1.95800001e-03, 1.00416994e+00,-5.09033024e-01,-6.28966987e-01,-2.16659498e+00,
  2.75200000e+03,-1.19449999e-02,-2.44600000e-03, 9.85615015e-01, 1.24572802e+00,-1.77337599e+00, 6.86660814e+00,
  2.80200000e+03, 7.51000014e-04,-4.88799997e-03, 9.94404018e-01, 2.02392602e+00, 7.90099978e-01, 2.38052392e+00,
