time,ax,ay,az,gx,gy,gz,
 6.41000000e+02, 1.60969999e-02, 2.66950995e-01, 1.44031894e+00,-8.90725708e+01, 1.42778320e+02,-9.22743225e+01,
  6.91000000e+02, 1.17660001e-01, 2.88435012e-01, 1.46277905e+00,-6.45059204e+01, 1.43358154e+02,-9.55244446e+01,
  7.42000000e+02, 1.22054003e-01, 2.98200995e-01, 1.43543601e+00,-7.96731567e+01, 1.64247437e+02,-9.15266418e+01,
  7.92000000e+02, 4.37900005e-03, 2.35700995e-01, 1.43006504e+00,-6.40786743e+01, 1.80482788e+02,-8.51942444e+01,
  8.42000000e+02,-3.02889999e-02, 3.61189008e-01, 1.43885398e+00,-6.86105347e+01, 1.49415894e+02,-9.60890198e+01,
  8.92000000e+02, 6.59020022e-02, 3.09430987e-01, 1.44471300e+00,-7.28067017e+01, 1.40199585e+02,-1.11179962e+02,
  9.44000000e+02, 1.09847002e-01, 3.09919000e-01, 1.42957604e+00,-6.66879272e+01, 1.52391357e+02,-1.01307526e+02,
  9.94000000e+02, 6.19960018e-02, 3.21150005e-01, 1.45106101e+00,-8.42050171e+01, 1.71556396e+02,-9.32051086e+01,
  1.04400000e+03,-2.78479997e-02, 2.63044000e-01, 1.42176402e+00,-6.80154419e+01, 1.65864868e+02,-9.21827698e+01,
  1.09500000e+03, 1.44899997e-03, 3.39704990e-01, 1.42469394e+00,-7.24557495e+01, 1.42259521e+02,-1.04374542e+02,
  1.14500000e+03, 5.90660013e-02, 2.91853011e-01, 1.43201804e+00,-6.40023804e+01, 1.49431152e+02,-1.00651398e+02,
  1.19600000e+03, 7.85970017e-02, 3.69978011e-01, 1.45106101e+00,-7.35543823e+01, 1.49888916e+02,-1.04099884e+02,
  1.24700000e+03, 3.56290005e-02, 2.99665987e-01, 1.42859995e+00,-7.05331421e+01, 1.61058350e+02,-9.35713196e+01,
  1.29700000e+03,-5.87499980e-03, 3.75836998e-01, 1.44227195e+00,-7.95816040e+01, 1.57182617e+02,-1.02421417e+02,
  1.34800000e+03, 2.53749993e-02, 2.34236002e-01, 1.40272105e+00,-7.61636353e+01, 1.56648560e+02,-9.94459534e+01,
  1.39800000e+03, 3.12339999e-02, 3.41657996e-01, 1.42762303e+00,-6.76797485e+01, 1.59151001e+02,-1.08204498e+02,
  1.44800000e+03, 1.85390003e-02, 2.32770994e-01, 1.40565097e+00,-7.56448364e+01, 1.58052368e+02,-9.38459778e+01,
  1.50000000e+03, 5.35500003e-03, 3.72419000e-01, 1.42322898e+00,-6.91903687e+01, 1.50590820e+02,-1.02421417e+02,
  1.55000000e+03, 4.39289995e-02, 2.78180987e-01, 1.42420495e+00,-8.19467163e+01, 1.60005493e+02,-9.86067200e+01,
  1.60000000e+03, 1.85390003e-02, 2.66461998e-01, 1.39979100e+00,-6.70999146e+01, 1.61363525e+02,-9.16181946e+01,
  1.65100000e+03,-1.48099998e-03, 3.56305987e-01, 1.41883397e+00,-7.82540894e+01, 1.51262207e+02,-1.04466095e+02,
  1.70100000e+03, 4.14879993e-02, 2.82575995e-01, 1.41346300e+00,-7.28067017e+01, 1.54420776e+02,-1.00651398e+02,
  1.75200000e+03, 2.09800005e-02, 3.05036992e-01, 1.44422495e+00,-6.97702026e+01, 1.56526489e+02,-9.79505920e+01,
