time,ax,ay,az,gx,gy,gz,
 6.41000000e+02,-1.42800005e-03,-1.13500003e-03, 1.00655997e+00,-1.26815796e+00, 1.76864600e+00,-3.26339698e+00,
  6.91000000e+02,-2.89299991e-03,-1.62400003e-03, 1.01486099e+00,-1.69524997e-01, 3.40133691e+00, 3.63357496e+00,
  7.41000000e+02,-4.84600011e-03, 6.67699985e-03, 9.89470005e-01,-1.26815796e+00,-4.07546997e+00, 2.41287208e+00,
  7.91000000e+02, 4.43099998e-03, 1.79400004e-03, 9.96793985e-01, 3.49274009e-01, 4.44030017e-02,-4.71038997e-01,
  8.41000000e+02,-4.35800012e-03, 9.11900029e-03, 1.00704801e+00, 3.34015012e-01, 1.31088305e+00,-1.31027198e+00,
  8.91000000e+02, 3.94299999e-03, 1.30600005e-03, 9.97771025e-01, 5.78154981e-01, 1.20407104e+00,-1.12716699e+00,
  9.42000000e+02,-5.33400010e-03,-7.97099993e-03, 9.97771025e-01, 3.69094801e+00,-2.14995995e-01,-2.98873901e+00,
  9.92000000e+02, 4.43099998e-03, 5.21200011e-03, 9.98748004e-01, 1.58523595e+00, 5.35446215e+00, 6.42853022e-01,
  1.04200000e+03,-5.33400010e-03,-6.01800019e-03, 9.94840980e-01, 1.17324805e+00,-4.28909302e+00, 1.77200305e+00,
  1.09300000e+03, 8.33700038e-03,-6.99499995e-03, 9.93865013e-01, 7.46002018e-01, 3.03512597e+00,-1.81122005e-01,
  1.14300000e+03, 3.94299999e-03, 1.30600005e-03, 1.00900102e+00,-1.60385096e+00, 5.64437914e+00,-5.62592030e-01,
  1.19300000e+03,-1.42800005e-03,-1.13500003e-03, 1.00655997e+00, 5.01861989e-01, 2.27509007e-01, 1.39053297e+00,
  1.24400000e+03,-3.86999990e-03,-2.60000001e-03, 9.96793985e-01,-1.34445202e+00,-3.21808010e-01,-6.14730787e+00,
  1.29400000e+03, 4.91899997e-03, 1.30600005e-03, 9.90446985e-01,-2.10739112e+00, 3.70651197e+00,-8.29879761e+00,
  1.34400000e+03, 5.40800020e-03, 5.21200011e-03, 1.00460696e+00,-1.69524997e-01, 3.98117089e+00,-2.51571703e+00,
  1.39400000e+03,-4.35800012e-03, 3.25899990e-03, 1.00460696e+00, 6.69708014e-01,-3.41934204e+00, 1.11587501e+00,
  1.44400000e+03, 3.45500000e-03,-3.57700000e-03, 1.00021195e+00,-2.61078000e-01,-2.71743798e+00, 1.48208594e+00,
  1.49500000e+03, 5.24999981e-04, 4.23600012e-03, 9.95818019e-01, 1.84463501e+00,-1.40518200e+00, 1.68044996e+00,
  1.54600000e+03, 4.91899997e-03, 5.70099987e-03, 9.95329976e-01, 3.85879493e+00, 3.70651197e+00, 1.39053297e+00,
  1.59600000e+03,-9.39999998e-04, 4.23600012e-03, 9.94352996e-01,-5.96771002e-01,-2.07656908e+00, 1.68044996e+00,
  1.64600000e+03,-1.02169998e-02, 1.79400004e-03, 9.93865013e-01, 7.61260986e-01, 3.79806495e+00, 4.56436205e+00,
  1.69600000e+03, 5.40800020e-03, 1.79400004e-03, 9.99235988e-01, 6.69708014e-01, 5.32684028e-01, 1.11587501e+00,
  1.74600000e+03,-2.89299991e-03, 8.63000005e-03, 9.91423011e-01,-1.34445202e+00,-4.77737379e+00,-4.37728882e+00,
  1.79700000e+03,-1.42800005e-03,-4.06499999e-03, 9.98748004e-01, 1.34109497e+00,-1.31362903e+00,-1.12716699e+00,
  1.84700000e+03, 3.45500000e-03,-6.46999979e-04, 9.92887974e-01, 1.75308204e+00,-1.60354602e+00,-3.26339698e+00,
  1.89700000e+03, 4.43099998e-03, 4.23600012e-03, 1.00655997e+00,-4.89960015e-01,-5.63186598e+00,-4.28573608e+00,
  1.94700000e+03, 5.24999981e-04, 7.16600008e-03, 1.00167704e+00,-1.54266000e-01, 1.17355299e+00,-6.16256714e+00,
  1.99800000e+03, 1.27320001e-02,-1.13500003e-03, 1.00851297e+00,-1.84799194e+00,-3.41934204e+00,-6.05575609e+00,
  2.04900000e+03, 5.24999981e-04,-2.11200002e-03, 1.00704801e+00,-1.60385096e+00,-1.53961003e-01,-3.26339698e+00,
  2.09900000e+03,-4.35800012e-03, 8.18000000e-04, 1.01193094e+00, 3.34015012e-01, 5.33920288e+00,-6.89498901e+00,
  2.14900000e+03, 4.43099998e-03,-9.43600014e-03, 1.00167704e+00, 1.60049403e+00, 2.54684401e+00,-3.62960792e+00,
  2.19900000e+03, 1.99000002e-03,-5.53000020e-03, 1.00802505e+00, 1.67678797e+00, 6.11740112e+00, 5.86135912e+00,
  2.24900000e+03, 3.94299999e-03,-1.62400003e-03, 1.00460696e+00,-5.96771002e-01, 5.14083910e+00, 3.72512794e+00,
  2.29900000e+03, 5.24999981e-04,-3.57700000e-03, 9.84098971e-01,-3.37372005e-01,-4.54849195e+00, 6.70059204e+00,
  2.35000000e+03, 7.84900039e-03,-1.28539996e-02, 1.00607204e+00, 1.66168004e-01,-4.96048021e+00,-1.81122005e-01,
  2.40100000e+03,-1.42800005e-03, 3.30000010e-04, 1.00558400e+00, 1.66168004e-01,-4.07546997e+00,-8.37249994e-01,
  2.45100000e+03, 8.82599968e-03,-4.06499999e-03, 9.97771025e-01, 8.37554991e-01, 5.47942996e-01, 2.13821411e+00,
  2.50100000e+03, 1.50100002e-03, 1.79400004e-03, 1.00118899e+00,-2.10739112e+00, 2.54684401e+00,-2.42416406e+00,
  2.55100000e+03, 7.84900039e-03, 1.30600005e-03, 9.85563993e-01, 1.75308204e+00,-2.45803809e+00,-3.53805494e+00,
  2.60100000e+03, 4.91899997e-03,-4.55299998e-03, 9.99235988e-01,-1.34445202e+00, 4.28634596e+00,-5.62592030e-01,
  2.65200000e+03, 3.70000016e-05, 8.18000000e-04, 9.94840980e-01, 1.18850696e+00, 4.56100512e+00, 1.68044996e+00,
  2.70200000e+03, 1.12669999e-02, 5.21200011e-03, 1.01290798e+00, 1.08169603e+00,-8.25348020e-01, 1.86355603e+00,
  2.75200000e+03, 3.45500000e-03, 5.21200011e-03, 1.00655997e+00,-9.17205989e-01, 5.90377808e+00, 8.41216981e-01,
  2.80200000e+03, 9.31399968e-03, 2.77099991e-03, 1.01046598e+00, 1.50894201e+00,-2.16812110e+00, 5.51299989e-01,
  2.85200000e+03,-9.39999998e-04,-3.08800000e-03, 9.85563993e-01, 6.69708014e-01,-1.77139294e+00,-1.85958898e+00,
  2.90400000e+03, 1.99000002e-03,-3.57700000e-03, 1.00753701e+00,-1.69524997e-01,-3.40408301e+00, 3.63357496e+00,
  2.95400000e+03, 1.50100002e-03, 5.21200011e-03, 9.99723971e-01, 1.67678797e+00, 1.78390503e+00, 5.51299989e-01,
  3.00400000e+03, 5.89600019e-03, 8.18000000e-04, 1.01241899e+00,-9.17205989e-01,-1.11526501e+00,-5.39962816e+00,
  3.05400000e+03,-4.84600011e-03, 8.18000000e-04, 9.89470005e-01,-2.85507202e+00, 3.21823096e+00,-2.69882202e+00,
  3.10400000e+03, 1.01300003e-03, 1.79400004e-03, 1.00411904e+00, 9.13848996e-01, 9.14153993e-01,-5.03341722e+00,
  3.15400000e+03, 6.87299995e-03, 2.77099991e-03, 9.86540020e-01,-2.18368506e+00,-1.37466395e+00,-1.95114100e+00,
  3.20500000e+03, 4.43099998e-03, 8.18000000e-04, 1.00363004e+00, 1.41738904e+00,-1.29837000e+00,-4.37728882e+00,
  3.25500000e+03,-8.26399960e-03,-7.48299994e-03, 9.97282982e-01, 5.78154981e-01,-3.12942505e+00, 4.59746987e-01,
  3.30600000e+03,-3.38099990e-03, 9.11900029e-03, 1.00167704e+00, 8.37554991e-01, 4.56389993e-01,-1.21871901e+00,
  3.35600000e+03,-7.77600007e-03, 4.23600012e-03, 1.00021195e+00, 2.53128004e+00,-2.96157789e+00,-2.71408105e+00,
  3.40600000e+03,-5.82299987e-03, 3.25899990e-03, 1.01095498e+00, 2.57721007e-01, 7.15789974e-01,-1.95114100e+00,
  3.45700000e+03,-4.35800012e-03, 8.18000000e-04, 1.00802505e+00, 1.26480103e+00,-7.75283813e+00, 4.28970289e+00,
  3.50700000e+03,-4.84600011e-03, 1.00950003e-02, 9.94840980e-01, 5.17120004e-01, 8.98895025e-01, 3.99978590e+00,
  3.55700000e+03,-9.39999998e-04,-6.01800019e-03, 9.88493979e-01, 3.49274009e-01,-2.07656908e+00, 4.18289185e+00,
  3.60700000e+03,-4.84600011e-03,-4.06499999e-03, 1.00021195e+00, 1.17324805e+00, 6.39496028e-01, 4.38125610e+00,
  3.65700000e+03, 3.70000016e-05,-2.11200002e-03, 9.87029016e-01, 2.25662208e+00,-8.25348020e-01, 2.61123705e+00,
  3.70700000e+03,-6.79899985e-03, 6.67699985e-03, 1.02169704e+00, 1.92092896e+00,-5.89126587e+00,-2.05795288e+00,
  3.75900000e+03, 1.50100002e-03, 1.79400004e-03, 9.96793985e-01,-5.96771002e-01, 3.88961792e+00,-2.24105811e+00,
  3.80900000e+03, 3.94299999e-03, 7.65400007e-03, 1.00265396e+00,-5.81511974e-01,-2.38174391e+00, 4.64065504e+00,
  3.85900000e+03, 3.70000016e-05, 3.74799990e-03, 9.95329976e-01, 1.34109497e+00,-3.81607103e+00, 6.60903883e+00,
  3.90900000e+03, 3.45500000e-03,-1.13500003e-03, 9.90935028e-01, 3.35525489e+00, 3.34320009e-01, 1.39053297e+00,
  3.95900000e+03, 1.99000002e-03, 2.77099991e-03, 9.88982022e-01,-7.64617980e-01,-1.78665197e+00,-2.33261108e+00,
  4.00900000e+03, 1.99000002e-03, 7.16600008e-03, 1.00314200e+00,-1.93954504e+00,-2.71743798e+00,-1.95114100e+00,
  4.06000000e+03, 6.38400018e-03,-6.46999979e-04, 9.95329976e-01, 2.02774000e+00, 2.27509007e-01, 1.86355603e+00,
  4.11000000e+03,-5.33400010e-03, 6.18899986e-03, 1.00314200e+00,-4.13666010e-01,-4.43877995e-01, 3.63357496e+00,
  4.16100000e+03, 1.99000002e-03,-6.46999979e-04, 1.00851297e+00,-5.05218029e-01,-6.39480591e+00, 1.86355603e+00,
  4.21100000e+03, 1.99000002e-03, 8.18000000e-04, 1.00216603e+00,-1.93954504e+00, 6.88034105e+00,-3.62960792e+00,
  4.26100000e+03,-9.39999998e-04,-1.62400003e-03, 1.00753701e+00,-6.57805979e-01,-1.02371204e+00,-2.69882202e+00,
  4.31200000e+03, 7.84900039e-03, 5.70099987e-03, 1.00704801e+00, 1.17324805e+00,-2.74795508e+00,-2.05795288e+00,
  4.36200000e+03,-3.86999990e-03, 7.65400007e-03, 1.01290798e+00, 2.42461994e-01,-1.38702005e-01,-7.45956421e+00,
  4.41200000e+03,-1.42800005e-03, 1.79400004e-03, 1.00021195e+00, 9.13848996e-01,-3.03787208e+00,-1.12716699e+00,
  4.46200000e+03, 7.84900039e-03,-1.09010004e-02, 1.00314200e+00,-9.32310000e-02,-3.52615404e+00, 4.59746987e-01,
  4.51200000e+03,-5.82299987e-03, 2.28299992e-03, 1.00460696e+00, 3.37051392e+00, 4.27108812e+00,-4.71038997e-01,
  4.56200000e+03,-4.52000007e-04,-6.99499995e-03, 1.00216603e+00, 1.43264794e+00, 1.28036499e+00,-1.50863600e+00,
  4.61400000e+03,-4.52000007e-04,-2.60000001e-03, 1.00021195e+00, 5.17120004e-01, 2.25692701e+00, 1.86355603e+00,
  4.66400000e+03, 4.43099998e-03, 1.30600005e-03, 1.00118899e+00,-1.84799194e+00,-4.71500009e-02, 1.58889794e+00,
  4.71400000e+03, 6.38400018e-03, 3.74799990e-03, 1.00900102e+00, 1.17324805e+00,-4.71500009e-02, 6.05972290e+00,
  4.76400000e+03, 3.94299999e-03, 1.30600005e-03, 9.98748004e-01, 2.27188110e+00, 1.18881202e+00, 1.20742798e+00,
  4.81400000e+03,-4.52000007e-04, 1.79400004e-03, 9.91423011e-01, 2.19558692e+00,-1.53961003e-01, 1.85089007e-01,
  4.86500000e+03,-4.35800012e-03,-7.97099993e-03, 1.00363004e+00,-2.61078000e-01, 3.05038404e+00,-1.67648304e+00,
  4.91500000e+03,-9.39999998e-04, 1.30600005e-03, 1.00851297e+00, 2.34817505e+00, 8.98895025e-01,-3.53805494e+00,
  4.96500000e+03, 2.96600000e-03, 2.28299992e-03, 9.95818019e-01,-6.73065007e-01, 5.03402710e+00, 2.76641995e-01,
  5.01500000e+03,-3.38099990e-03,-6.46999979e-04, 9.96793985e-01,-2.44308496e+00,-2.45803809e+00,-3.08029199e+00,
  5.06500000e+03,-5.33400010e-03, 2.28299992e-03, 9.83123004e-01,-1.69524997e-01, 5.17426014e-01,-4.37728882e+00,
  5.11600000e+03, 4.91899997e-03,-4.55299998e-03, 9.98259008e-01,-1.67799997e-03,-4.96048021e+00,-8.95690024e-02,
  5.16700000e+03,-3.86999990e-03, 4.23600012e-03, 9.96793985e-01,-1.67799997e-03, 4.56100512e+00,-3.44650292e+00,
  5.21700000e+03, 1.01300003e-03,-3.08800000e-03, 9.85563993e-01, 8.52814019e-01,-3.64822412e+00,-6.69403017e-01,
  5.26700000e+03,-7.77600007e-03,-4.55299998e-03, 1.00314200e+00, 4.10308987e-01, 1.00570703e+00,-3.79485995e-01,
  5.31700000e+03, 8.82599968e-03, 1.30600005e-03, 1.00167704e+00, 5.17120004e-01, 5.30868483e+00,-7.60955989e-01,
  5.36700000e+03, 3.70000016e-05, 3.74799990e-03, 1.00704801e+00, 1.43264794e+00, 4.25873011e-01, 6.42853022e-01,
  5.41700000e+03,-9.72899981e-03, 1.79400004e-03, 9.89957988e-01, 2.60757399e+00,-1.49673498e+00,-3.72116089e+00,
