time,ax,ay,az,gx,gy,gz,
 6.41000000e+02, 1.70400005e-03, 7.55099999e-03, 9.96492028e-01, 1.27944899e+00,-7.70569965e-02, 3.24264503e+00,
  6.91000000e+02, 3.65699991e-03, 1.20399997e-03, 9.95514989e-01, 1.04523003e-01, 1.86080897e+00, 1.28952003e+00,
  7.41000000e+02,-6.10799994e-03, 1.20399997e-03, 1.01260495e+00,-1.42135596e+00, 1.02157605e+00, 3.73092604e+00,
  7.91000000e+02,-7.08500016e-03,-2.70300009e-03, 1.00967503e+00,-6.58416986e-01, 3.40194702e+00, 3.05954003e+00,
  8.41000000e+02,-9.03800037e-03, 2.26999997e-04, 9.95514989e-01, 1.02005005e+00,-4.39529419e+00, 7.24945009e-01,
  8.91000000e+02,-4.15500021e-03, 5.10999979e-03, 9.84772980e-01,-3.34396410e+00,-4.58526999e-01, 2.40341210e+00,
  9.42000000e+02,-6.59700017e-03, 7.14999973e-04, 9.98933017e-01, 4.40216005e-01, 3.37142897e+00,-7.55156994e-01,
  9.92000000e+02,-2.68999999e-03, 3.64500005e-03, 9.93074000e-01, 2.62222290e+00,-3.32717896e+00, 2.60177588e+00,
  1.04200000e+03, 1.58639997e-02,-1.72599999e-03, 9.89166975e-01,-1.40609705e+00, 5.04989576e+00,-6.04995680e+00,
  1.09200000e+03, 5.12199989e-03, 2.26999997e-04, 1.00820994e+00,-2.16903710e+00,-7.48444021e-01,-4.11209106e+00,
  1.14200000e+03, 2.39000001e-04, 3.64500005e-03, 9.96980011e-01,-7.34710991e-01,-2.60161996e-01, 1.19796801e+00,
  1.19300000e+03,-4.15500021e-03, 1.69199996e-03, 9.89166975e-01, 1.61514294e+00, 5.04989576e+00,-2.82135010e-01,
  1.24400000e+03, 7.28000014e-04,-3.19100008e-03, 1.00918698e+00, 7.75909007e-01,-3.43399000e+00,-1.97586095e+00,
  1.29400000e+03, 6.09900011e-03, 1.14580002e-02, 9.93074000e-01,-1.90963697e+00, 6.46896410e+00, 3.24264503e+00,
  1.34400000e+03, 7.56300008e-03,-2.70300009e-03, 9.93074000e-01,-1.40609705e+00, 3.58505201e+00,-8.21670628e+00,
  1.39400000e+03, 2.39000001e-04,-2.21400009e-03, 9.99421000e-01, 1.85928297e+00, 1.21307001e-01,-1.50283802e+00,
  1.44400000e+03, 7.28000014e-04, 4.13300004e-03, 1.00332797e+00,-1.49765003e+00,-1.83868006e-01, 2.31185889e+00,
  1.49500000e+03,-2.68999999e-03, 5.10999979e-03, 1.00625706e+00, 1.43203700e+00, 1.20468104e+00, 2.82440007e-01,
  1.54500000e+03, 2.19199993e-03, 3.15700006e-03, 1.00674605e+00,-4.90570009e-01, 5.87387085e+00,-5.04287720e+00,
  1.59500000e+03, 1.21599995e-03, 7.06300000e-03, 9.99421000e-01,-3.22723001e-01, 3.34930003e-01,-4.20364380e+00,
  1.64600000e+03, 6.09900011e-03, 9.01599973e-03, 9.92585003e-01, 6.84356987e-01, 1.46408105e+00, 4.26498413e+00,
  1.69600000e+03, 7.56300008e-03,-7.09699979e-03, 1.01553500e+00, 3.62930298e+00,-5.35659790e+00,-1.59439099e+00,
  1.74600000e+03,-7.37000024e-04,-4.16699983e-03, 9.90144014e-01,-6.33239970e-02,-1.51138306e+00,-1.22818005e+00,
  1.79700000e+03,-7.37000024e-04, 7.14999973e-04, 1.00723398e+00,-2.31170997e-01,-9.31549013e-01, 2.40341210e+00,
  1.84700000e+03,-5.61999995e-03,-6.12099981e-03, 1.00918698e+00, 2.53066993e+00,-2.57949805e+00,-1.77749598e+00,
  1.89700000e+03, 2.39000001e-04,-1.72599999e-03, 9.90631998e-01,-1.40609705e+00,-3.92227101e+00,-2.99819899e+00,
  1.94700000e+03, 3.16899992e-03, 5.59799979e-03, 9.93561983e-01, 5.16510010e-01, 2.43377998e-01, 5.40939283e+00,
  1.99700000e+03, 6.09900011e-03, 5.10999979e-03, 1.00283897e+00,-3.22723001e-01, 8.84247005e-01, 4.82955885e+00,
  2.04800000e+03, 3.16899992e-03, 9.01599973e-03, 1.00381601e+00,-4.90570009e-01, 7.52182007e+00,-2.81509399e+00,
  2.09900000e+03,-5.61999995e-03, 4.13300004e-03, 9.98444974e-01,-1.83334303e+00, 5.12619019e+00,-2.70828199e+00,
  2.14900000e+03,-2.20200000e-03, 6.57500001e-03, 9.95027006e-01,-1.08566296e+00, 1.02157605e+00, 3.73092604e+00,
  2.19900000e+03, 2.68099993e-03,-5.63200004e-03, 1.01065195e+00, 1.02005005e+00,-2.45742798e+00, 3.58734012e-01,
  2.24900000e+03,-1.71400001e-03, 7.14999973e-04, 1.00283897e+00, 1.84402502e+00,-4.56314087e+00, 2.14401197e+00,
  2.29900000e+03, 3.16899992e-03, 2.66800006e-03, 1.00772202e+00,-1.16195703e+00,-1.03836095e+00,-1.86904895e+00,
  2.35000000e+03, 3.16899992e-03, 2.18000007e-03, 1.00186300e+00,-1.83334303e+00, 5.12619019e+00,-1.22818005e+00,
  2.40000000e+03,-1.22600002e-03, 1.04809999e-02, 9.94050026e-01, 5.92804015e-01, 5.04989576e+00, 1.12167394e+00,
  2.45000000e+03,-2.68999999e-03,-2.70300009e-03, 9.88191009e-01,-6.58416986e-01,-2.07595801e+00,-2.34207201e+00,
  2.50000000e+03, 3.65699991e-03, 7.55099999e-03, 1.00088596e+00,-1.07040405e+00, 4.65316820e+00,-2.25051904e+00,
  2.55100000e+03, 3.65699991e-03, 5.59799979e-03, 9.92097020e-01, 1.78298903e+00,-2.09121704e+00,-7.47699989e-03,
  2.60100000e+03, 6.58700010e-03, 3.64500005e-03, 1.00528097e+00,-1.49765003e+00, 2.42538404e+00, 3.62411499e+00,
  2.65200000e+03, 3.65699991e-03, 9.99299996e-03, 9.93561983e-01, 1.85928297e+00, 1.75399804e+00,-1.77749598e+00,
  2.70200000e+03, 6.09900011e-03,-4.65600006e-03, 9.96492028e-01, 6.08062983e-01,-6.01272583e+00,-3.16604590e+00,
  2.75200000e+03, 1.19580003e-02,-2.21400009e-03, 9.98933017e-01, 1.04523003e-01,-3.72390699e+00, 7.24945009e-01,
  2.80200000e+03, 8.53999984e-03, 7.06300000e-03, 1.00723398e+00, 2.36282301e+00,-7.48444021e-01, 7.91183519e+00,
  2.85200000e+03, 6.58700010e-03, 1.38990004e-02, 1.00674605e+00, 2.02712989e+00,-1.61819506e+00,-1.97586095e+00,
  2.90300000e+03, 2.68099993e-03, 7.14999973e-04, 1.00625706e+00,-9.02557015e-01,-2.36587501e+00,-6.63604975e-01,
  2.95300000e+03, 1.04930000e-02, 3.64500005e-03, 9.94539022e-01,-6.58416986e-01, 7.92693973e-01, 2.78488207e+00,
  3.00400000e+03, 1.70400005e-03, 6.57500001e-03, 9.95027006e-01,-1.57394397e+00,-3.43399000e+00, 1.94564795e+00,
  3.05400000e+03, 5.12199989e-03, 2.18000007e-03, 9.91120994e-01,-9.94109988e-01, 9.91057992e-01, 2.12875390e+00,
  3.10400000e+03,-1.71400001e-03, 4.13300004e-03, 9.93074000e-01,-3.75595093e+00, 2.53219604e+00,-2.05841005e-01,
  3.15400000e+03, 8.05199984e-03, 7.55099999e-03, 9.92585003e-01,-6.33239970e-02,-5.35659790e+00,-4.47830200e+00,
  3.20500000e+03,-2.20200000e-03, 2.26999997e-04, 1.00186300e+00, 1.65557995e-01,-3.51028395e+00,-1.39602697e+00,
  3.25500000e+03,-4.15500021e-03,-7.50000007e-04, 1.00283897e+00, 6.69098020e-01,-5.31082201e+00, 2.70858788e+00,
  3.30500000e+03, 2.39000001e-04, 1.20399997e-03, 9.98444974e-01,-2.28899997e-03, 1.11312902e+00, 2.23556495e+00,
  3.35500000e+03, 7.56300008e-03,-7.50000007e-04, 1.00332797e+00, 1.04523003e-01,-8.60671997e+00,-1.67068505e+00,
  3.40500000e+03, 3.16899992e-03, 8.03999975e-03, 1.01504600e+00, 1.34048498e+00, 2.43377998e-01, 5.11947584e+00,
  3.45700000e+03, 6.58700010e-03, 7.14999973e-04, 1.01211703e+00, 2.72368997e-01, 5.81283617e+00,-3.27285790e+00,
  3.50700000e+03, 3.16899992e-03, 3.64500005e-03, 9.96980011e-01, 1.44729602e+00,-3.43399000e+00, 4.17343092e+00,
  3.55700000e+03, 3.16899992e-03, 2.66800006e-03, 1.00332797e+00,-2.07748389e+00, 6.09588981e-01,-1.22818005e+00,
  3.60700000e+03, 9.02799983e-03, 5.10999979e-03, 9.93074000e-01, 1.35574305e+00,-1.49612403e+00, 3.15109301e+00,
  3.65700000e+03,-3.17899999e-03,-7.50000007e-04, 1.00332797e+00, 1.44729602e+00,-3.70864892e+00, 2.87643409e+00,
  3.70700000e+03, 1.04930000e-02,-1.14920000e-02, 1.01797605e+00, 1.44729602e+00, 2.15072608e+00, 1.28952003e+00,
  3.75800000e+03, 6.09900011e-03, 8.52799974e-03, 9.95514989e-01,-8.26263011e-01,-1.80130005e+00, 3.33419800e+00,
  3.80800000e+03, 1.70400005e-03, 2.66800006e-03, 9.95514989e-01,-2.16903710e+00,-3.89175391e+00,-3.73062110e+00,
  3.85900000e+03, 5.12199989e-03,-7.50000007e-04, 1.00088596e+00,-1.90963697e+00,-1.99966395e+00,-5.22598314e+00,
  3.90900000e+03, 5.12199989e-03, 1.53639996e-02, 1.00381601e+00,-1.32980299e+00, 2.13546801e+00,-4.80498999e-01,
  3.95900000e+03, 1.21599995e-03, 5.59799979e-03, 1.00381601e+00, 1.02005005e+00,-4.27322388e+00,-6.48346007e-01,
  4.00900000e+03, 7.28000014e-04, 5.59799979e-03, 1.00039804e+00,-1.32980299e+00, 3.90548706e+00, 3.34945703e+00,
  4.06000000e+03, 1.19580003e-02, 4.13300004e-03, 9.95514989e-01,-3.22723001e-01, 3.21884203e+00,-1.50283802e+00,
