time,ax,ay,az,gx,gy,gz,
 6.41000000e+02,-1.35100004e-03,-1.04400003e-03, 9.84592021e-01, 1.68060303e+00,-3.92440796e+00, 7.06649780e+00,
  6.91000000e+02, 8.90299957e-03,-4.46199998e-03, 9.97287989e-01, 1.75689697e+00,-2.07809401e+00,-2.71438599e+00,
  7.41000000e+02, 8.90299957e-03, 2.86299991e-03, 1.00216997e+00,-1.93572998e+00, 3.17535013e-01,-2.07351708e+00,
  7.91000000e+02,-3.79300001e-03, 9.08999995e-04, 1.00265896e+00, 2.35198998e+00,-6.03012085e+00, 7.34099984e-01,
  8.41000000e+02,-3.30400001e-03,-5.92700019e-03, 9.83615994e-01, 1.49749804e+00, 1.58401501e+00,-1.41738904e+00,
  8.91000000e+02,-3.79300001e-03,-3.48499999e-03, 1.00168204e+00, 1.69983000e-01,-4.30587816e+00, 4.44182992e-01,
  9.42000000e+02, 6.01999986e-04,-2.02000001e-03, 9.85081017e-01,-8.94170031e-02, 1.85867298e+00,-6.69708014e-01,
  9.92000000e+02,-6.72199996e-03,-5.54999977e-04, 1.01291299e+00, 9.36890021e-02, 5.70388794e+00, 2.61078000e-01,
  1.04200000e+03,-2.32800003e-03, 9.08999995e-04, 1.00119400e+00,-7.60802984e-01, 7.26028395e+00, 2.50412011e+00,
  1.09200000e+03,-3.75000003e-04,-4.46199998e-03, 1.00558805e+00, 2.00103807e+00, 2.91153002e+00, 3.23654199e+00,
  1.14200000e+03,-1.84000004e-03, 4.81599988e-03, 9.93381023e-01,-2.57263005e-01, 9.27887022e-01, 7.06649780e+00,
  1.19300000e+03, 1.09000003e-03, 1.88600004e-03, 1.00558805e+00, 8.26111019e-01,-1.89498901e+00, 1.10031104e+00,
  1.24400000e+03, 3.04299989e-03,-5.92700019e-03, 9.98264015e-01,-3.69049096e+00,-4.60662991e-01,-2.07351708e+00,
  1.29400000e+03,-8.62999994e-04, 1.88600004e-03, 9.96311009e-01,-2.27142310e+00,-2.76473999e+00,-1.03591895e+00,
  1.34400000e+03, 1.09000003e-03,-2.02000001e-03, 1.00070596e+00,-7.76062012e-01, 2.95730591e+00,-2.16507006e+00,
  1.39400000e+03, 4.01999988e-03,-3.48499999e-03, 9.92892981e-01,-4.25110012e-01,-4.74838305e+00,-5.78154981e-01,
  1.44400000e+03,-6.23399997e-03,-6.41500019e-03, 9.89962995e-01, 2.15362501e+00,-2.33749390e+00, 5.84579515e+00,
  1.49500000e+03,-4.28099977e-03, 5.30399987e-03, 1.00656497e+00, 9.36890021e-02,-1.60507202e+00, 4.91500902e+00,
  1.54500000e+03, 1.09000003e-03,-2.02000001e-03, 1.00070596e+00,-1.02020299e+00, 3.30825806e+00, 2.21420288e+00,
  1.59500000e+03,-2.81600002e-03,-2.99700000e-03, 1.00314701e+00,-1.76788294e+00,-1.97128296e+00,-3.93508911e+00,
  1.64500000e+03, 2.55499990e-03,-4.46199998e-03, 9.97775972e-01,-3.48816007e-01,-5.34347486e+00,-1.03591895e+00,
  1.69600000e+03,-5.25799999e-03,-5.92700019e-03, 9.95823026e-01,-1.08123803e+00, 1.19171001e-01,-5.23208618e+00,
  1.74600000e+03,-6.72199996e-03, 4.32700012e-03, 9.89475012e-01,-1.52374303e+00,-2.38327003e+00,-2.80593896e+00,
  1.79700000e+03,-2.32800003e-03, 4.32700012e-03, 1.01144803e+00,-2.42004007e-01, 5.79544115e+00,-4.02664185e+00,
  1.84700000e+03,-2.81600002e-03,-3.48499999e-03, 1.00119400e+00, 9.93956983e-01,-3.23776197e+00,-9.44365978e-01,
  1.89700000e+03, 7.43799983e-03,-5.54999977e-04, 9.98751998e-01,-1.35589600e+00, 3.32794011e-01,-3.73672509e+00,
  1.94700000e+03,-8.18699971e-03,-3.97300022e-03, 9.87522006e-01, 1.16180396e+00,-2.93258691e+00,-1.87515295e+00,
  1.99700000e+03,-2.32800003e-03,-1.53200002e-03, 1.00461197e+00,-9.28650022e-01, 1.87393200e+00,-4.30130005e+00,
  2.04800000e+03, 1.09000003e-03,-9.34400037e-03, 1.00705302e+00,-4.09851015e-01,-2.62299001e-01,-6.69708014e-01,
  2.09900000e+03,-2.81600002e-03,-6.70000009e-05, 9.92892981e-01, 3.69476295e+00, 1.08047497e+00, 7.79720023e-02,
  2.14900000e+03,-1.35100004e-03, 9.08999995e-04, 1.00070596e+00,-1.95098901e+00, 1.41616797e+00, 5.11337280e+00,
  2.19900000e+03,-1.35100004e-03,-1.42270001e-02, 1.00021696e+00,-2.36297607e+00, 1.47720301e+00,-5.04898119e+00,
  2.24900000e+03,-1.16050001e-02,-6.90300018e-03, 1.01388896e+00,-2.36297607e+00, 1.21430969e+01,-6.07132006e+00,
  2.29900000e+03,-1.84000004e-03,-1.53200002e-03, 1.00607705e+00,-5.16663015e-01,-3.92440796e+00, 2.03109694e+00,
  2.35000000e+03, 5.48500009e-03, 4.21000004e-04, 1.00314701e+00,-1.02020299e+00,-4.30587816e+00,-4.77432203e+00,
  2.40000000e+03,-3.75000003e-04,-4.46199998e-03, 9.87522006e-01, 1.25335705e+00, 1.46194506e+00,-4.11819506e+00,
  2.45000000e+03, 2.06699991e-03,-1.42270001e-02, 9.96311009e-01,-2.57263005e-01,-7.28134203e+00,-4.68276978e+00,
  2.50100000e+03,-3.79300001e-03,-1.03209997e-02, 9.95823026e-01, 9.17663991e-01, 3.96438599e+00,-2.71438599e+00,
