time,ax,ay,az,gx,gy,gz,
 6.41000000e+02,-2.67699989e-03, 3.20599996e-03, 1.00871503e+00,-2.50579810e+00, 3.55346704e+00, 1.05407703e+00,
  6.91000000e+02, 3.67100001e-03, 1.25199999e-03, 1.00480795e+00,-2.62755990e-01,-2.22961402e+00,-1.55517602e+00,
  7.41000000e+02,-9.51300003e-03,-2.11999999e-04, 1.00138998e+00, 2.01080298e+00, 5.76599121e+00, 4.41101122e+00,
  7.91000000e+02,-2.36000007e-04,-7.04800012e-03, 9.97484028e-01,-1.42242396e+00,-4.76070009e-02, 2.51892090e+00,
  8.41000000e+02, 1.22900004e-03, 2.22899998e-03, 1.00285494e+00, 2.19390893e+00,-2.12280297e+00,-1.00585902e+00,
  8.91000000e+02,-1.04900002e-02,-2.16599996e-03, 1.00578499e+00, 1.84295702e+00,-1.06994605e+00, 1.32873499e+00,
  9.42000000e+02, 4.15899977e-03,-3.62999993e-03, 9.89672005e-01,-2.50579810e+00, 5.15564013e+00,-1.66198695e+00,
  9.92000000e+02, 1.22900004e-03, 2.76000006e-04, 1.00432003e+00,-1.55945003e-01, 8.14636326e+00, 8.55713010e-01,
  1.04200000e+03,-8.53599980e-03,-9.49000008e-03, 1.00432003e+00, 5.91736019e-01, 7.44630024e-02, 4.67041016e+00,
  1.09200000e+03, 1.22900004e-03,-2.11999999e-04, 1.01555097e+00, 8.51135015e-01, 4.40795898e+00, 7.64159977e-01,
  1.14300000e+03, 4.64700023e-03, 3.20599996e-03, 1.00334406e+00, 9.27429020e-01,-3.22143602e+00,-5.49194288e+00,
  1.19300000e+03,-4.62999986e-03,-6.56000013e-03, 9.97972012e-01, 1.18682897e+00,-4.73205614e+00,-4.41284001e-01,
  1.24400000e+03,-7.07199983e-03,-5.58299990e-03, 1.00578499e+00,-1.08673096e+00,-2.12280297e+00,-6.86523390e+00,
  1.29400000e+03, 6.11199997e-03,-9.97800007e-03, 9.99925017e-01,-1.66656494e+00,-1.95495605e+00,-5.20202589e+00,
  1.34400000e+03, 1.22900004e-03,-2.16599996e-03, 9.91625011e-01, 3.32336009e-01, 8.52661014e-01,-6.02600098e+00,
  1.39400000e+03,-1.21200003e-03,-2.11999999e-04, 1.00627303e+00, 1.91925001e+00, 1.34094203e+00, 5.81054986e-01,
  1.44400000e+03, 4.64700023e-03, 2.76000006e-04, 9.93089974e-01, 2.08709693e+00,-5.02197313e+00, 5.79956102e+00,
  1.49500000e+03,-3.65399988e-03,-4.60699992e-03, 1.00480795e+00, 6.83288991e-01, 4.55933005e-01,-1.95190406e+00,
  1.54600000e+03, 4.15899977e-03,-3.62999993e-03, 1.00236702e+00,-1.49871802e+00, 9.67224216e+00,-3.72192407e+00,
  1.59600000e+03,-3.65399988e-03, 2.22899998e-03, 9.89183009e-01,-2.67364502e+00, 5.32226026e-01, 2.80883789e+00,
  1.64600000e+03, 7.40999996e-04,-1.67699996e-03, 1.00529695e+00,-9.95177984e-01,-4.83886719e+00,-2.04345703e+00,
  1.69600000e+03, 2.53000006e-04,-3.62999993e-03, 1.01652706e+00,-2.33795190e+00, 1.69189501e+00, 5.65796018e-01,
  1.74600000e+03, 8.55300017e-03,-3.62999993e-03, 1.00187898e+00, 1.00372303e+00,-1.72607398e+00,-4.82055712e+00,
  1.79700000e+03, 5.13500022e-03,-7.00999983e-04, 9.92112994e-01, 1.52252197e+00, 4.51477003e+00, 2.14844003e-01,
  1.84700000e+03, 3.67100001e-03,-3.62999993e-03, 1.00334406e+00, 1.85821497e+00,-2.80944800e+00,-1.46362305e+00,
  1.89700000e+03, 7.40999996e-04, 7.63999997e-04, 1.01213300e+00,-1.66656494e+00, 5.06408691e+00,-4.74426317e+00,
  1.94700000e+03,-7.23999983e-04,-5.58299990e-03, 1.00773799e+00, 1.59881604e+00,-1.58874500e+00, 3.26660204e+00,
  1.99800000e+03,-1.21200003e-03,-1.67699996e-03, 9.98948991e-01,-1.75811803e+00, 6.23778999e-01, 4.28893995e+00,
  2.04900000e+03,-6.09500008e-03,-5.58299990e-03, 9.93089974e-01, 2.19390893e+00,-3.51135302e+00, 6.25732422e+00,
  2.09900000e+03,-1.21200003e-03, 6.13499992e-03, 1.01408601e+00,-8.27332020e-01,-5.29663086e+00, 1.71020496e+00,
  2.14900000e+03,-4.14199987e-03, 5.15899993e-03, 1.00187898e+00, 9.27429020e-01,-1.09118662e+01,-8.22754025e-01,
  2.19900000e+03,-6.09500008e-03, 1.25199999e-03, 9.96019006e-01, 1.08001697e+00, 2.48535204e+00, 3.09875488e+00,
  2.24900000e+03,-6.09500008e-03, 1.74099999e-03, 1.01457405e+00, 2.56042004e-01,-2.26013207e+00, 1.08032003e-01,
  2.29900000e+03,-6.09500008e-03,-2.65399995e-03, 1.00773799e+00,-1.16302502e+00, 2.76001000e+00, 4.94506788e+00,
  2.35000000e+03,-7.23999983e-04, 7.60000013e-03, 9.94553983e-01,-1.59027100e+00,-8.79089355e+00, 1.58813500e+00,
  2.40100000e+03, 3.18200001e-03, 1.74099999e-03, 1.00480795e+00,-3.23792011e-01, 3.44665504e+00,-3.41674805e+00,
  2.45100000e+03,-1.21200003e-03, 6.13499992e-03, 9.93578017e-01, 1.18682897e+00,-3.12988305e+00,-1.66198695e+00,
  2.50100000e+03,-2.36000007e-04, 4.18200018e-03, 1.00871503e+00,-1.26983595e+00, 2.01232910e+00, 3.57177711e+00,
  2.55100000e+03,-2.18899990e-03, 2.76000006e-04, 1.00236702e+00, 1.79748997e-01, 2.57568002e-01,-5.29357910e+00,
  2.60100000e+03, 3.67100001e-03, 4.67000017e-03, 9.96508002e-01, 1.01898205e+00, 2.45483398e+00,-6.22436523e+00,
  2.65200000e+03, 8.06500018e-03, 1.25199999e-03, 9.96995986e-01, 1.35467505e+00,-1.39038098e+00,-1.47888196e+00,
  2.70200000e+03,-1.21200003e-03,-4.11899993e-03, 1.00724995e+00, 8.51135015e-01,-1.55822802e+00, 3.00720191e+00,
  2.75200000e+03,-1.21200003e-03,-7.00999983e-04, 1.00285494e+00,-3.35699995e-03,-1.16149902e+00, 6.45568800e+00,
  2.80200000e+03,-4.62999986e-03, 5.15899993e-03, 1.01115596e+00, 1.93450904e+00,-1.46667504e+00,-1.47888196e+00,
  2.85300000e+03, 4.64700023e-03, 2.76000006e-04, 9.99925017e-01,-1.33087206e+00, 3.23303199e+00,-2.79113793e+00,
  2.90400000e+03, 3.18200001e-03,-3.62999993e-03, 9.93578017e-01, 4.23889011e-01,-8.86840999e-01, 1.13037097e+00,
  2.95400000e+03, 3.18200001e-03,-7.00999983e-04, 9.97972012e-01, 1.09527600e+00, 2.48535204e+00, 3.84643602e+00,
  3.00400000e+03, 3.18200001e-03,-1.67699996e-03, 1.00041401e+00,-1.60553002e+00,-1.93969703e+00,-2.48596191e+00,
  3.05400000e+03,-7.23999983e-04, 7.63999997e-04, 1.00334406e+00,-2.59735107e+00, 1.70715296e+00,-6.04125977e+00,
  3.10400000e+03,-2.67699989e-03,-1.67699996e-03, 9.97972012e-01, 1.18682897e+00, 9.28955019e-01,-5.01892090e+00,
  3.15400000e+03, 7.40999996e-04, 7.63999997e-04, 9.88695025e-01, 1.19019998e-02,-4.36584520e+00,-2.04345703e+00,
  3.20500000e+03,-7.23999983e-04,-3.62999993e-03, 1.00871503e+00,-2.09381104e+00, 3.49121004e-01,-1.75354004e+00,
  3.25600000e+03, 2.53000006e-04,-1.04660001e-02, 1.00578499e+00,-1.94122303e+00, 3.79639000e-01, 4.86877394e+00,
  3.30600000e+03, 4.64700023e-03,-5.58299990e-03, 9.93578017e-01, 1.00372303e+00,-4.90112007e-01, 4.12109423e+00,
